run,detector,target_source,episodes,success_rate,mean_target_error_l2,no_detection_rate,runner_exception_rate,wrong_detection_rate,iou_mean,iou_hit_010,iou_hit_025,iou_hit_050,iou_hit_075,success_ci_low,success_ci_high,no_detection_ci_low,no_detection_ci_high,wrong_detection_ci_low,wrong_detection_ci_high
open_vocab_bridge_v2,GroundingDINO,box_center_depth,1350,0.30074074074074075,0.3006904438944007,0.0,0.0,0.6377777777777778,0.09824764629312945,0.34814814814814815,0.08814814814814814,0.0437037037037037,0.0007407407407407407,0.27185185185185184,0.3362962962962964,0.0,0.0,0.5948148148148148,0.6733333333333336
open_vocab_bridge_v2,GroundingDINO,crop_median_depth,1350,0.3148148148148148,0.23626931706522952,0.0,0.0,0.6503703703703704,0.09824764629312946,0.34814814814814815,0.08814814814814814,0.0437037037037037,0.0007407407407407407,0.29111111111111115,0.34740740740740744,0.0,0.0,0.6066481481481483,0.6859259259259259
open_vocab_bridge_v2,GroundingDINO,crop_trimmed_median_depth,1350,0.3148148148148148,0.23626931706522952,0.0,0.0,0.6503703703703704,0.09824764629312945,0.34814814814814815,0.08814814814814814,0.0437037037037037,0.0007407407407407407,0.29111111111111115,0.34740740740740744,0.0,0.0,0.6066481481481483,0.6859259259259259
open_vocab_bridge_v2,first detection,box_center_depth,1350,0.3688888888888889,0.09916179031450723,0.0,0.0,0.4088888888888889,,0.0,0.0,0.0,0.0,0.3496111111111111,0.3866666666666667,0.0,0.0,0.4022222222222223,0.41777777777777786
open_vocab_bridge_v2,first detection,crop_median_depth,1350,0.5170370370370371,0.10603819310334264,0.0,0.0,0.3933333333333333,,0.0,0.0,0.0,0.0,0.4777592592592592,0.554074074074074,0.0,0.0,0.3711111111111112,0.41777777777777786
open_vocab_bridge_v2,first detection,crop_trimmed_median_depth,1350,0.5170370370370371,0.10603819310334264,0.0,0.0,0.3933333333333333,,0.0,0.0,0.0,0.0,0.4777592592592592,0.554074074074074,0.0,0.0,0.3711111111111112,0.41777777777777786
open_vocab_bridge_v2,metadata query-aware,box_center_depth,1350,0.6177777777777778,0.05408636306609845,0.0,0.0,0.13333333333333333,,0.0,0.0,0.0,0.0,0.582962962962963,0.6474074074074075,0.0,0.0,0.13333333333333333,0.13333333333333333
open_vocab_bridge_v2,metadata query-aware,crop_median_depth,1350,0.7125925925925926,0.07487366042630854,0.0,0.0,0.10444444444444445,,0.0,0.0,0.0,0.0,0.6451851851851853,0.774814814814815,0.0,0.0,0.09333333333333334,0.11555555555555558
open_vocab_bridge_v2,metadata query-aware,crop_trimmed_median_depth,1350,0.7125925925925926,0.07487366042630855,0.0,0.0,0.10444444444444445,,0.0,0.0,0.0,0.0,0.6451851851851853,0.774814814814815,0.0,0.0,0.09333333333333334,0.11555555555555558
open_vocab_bridge_v2,oracle,oracle_target,1350,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
open_vocab_bridge_v2_ycb_clutter_heldout,GroundingDINO,box_center_depth,1800,0.0,,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
open_vocab_bridge_v2_ycb_clutter_heldout,GroundingDINO,crop_median_depth,1800,0.0,,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
open_vocab_bridge_v2_ycb_clutter_heldout,GroundingDINO,crop_trimmed_median_depth,1800,0.0,,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
open_vocab_bridge_v2_ycb_clutter_heldout,first detection,box_center_depth,1800,0.36277777777777775,0.10313745502990491,0.0,0.0,0.41,,0.0,0.0,0.0,0.0,0.3461111111111111,0.3777777777777778,0.0,0.0,0.4033333333333332,0.4183333333333332
open_vocab_bridge_v2_ycb_clutter_heldout,first detection,crop_median_depth,1800,0.4722222222222222,0.11333844352267568,0.0,0.0,0.42333333333333334,,0.0,0.0,0.0,0.0,0.43944444444444447,0.5066666666666666,0.0,0.0,0.40499999999999997,0.44
open_vocab_bridge_v2_ycb_clutter_heldout,first detection,crop_trimmed_median_depth,1800,0.4722222222222222,0.11333844352267568,0.0,0.0,0.42333333333333334,,0.0,0.0,0.0,0.0,0.43944444444444447,0.5066666666666666,0.0,0.0,0.40499999999999997,0.44
open_vocab_bridge_v2_ycb_clutter_heldout,metadata query-aware,box_center_depth,1800,0.7427777777777778,0.03232504616858139,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.7105555555555554,0.7716666666666666,0.0,0.0,0.0,0.0
open_vocab_bridge_v2_ycb_clutter_heldout,metadata query-aware,crop_median_depth,1800,0.7705555555555555,0.06513961277461582,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.7144444444444445,0.8272222222222222,0.0,0.0,0.0,0.0
open_vocab_bridge_v2_ycb_clutter_heldout,metadata query-aware,crop_trimmed_median_depth,1800,0.7705555555555555,0.06513961277461582,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.7144444444444445,0.8272222222222222,0.0,0.0,0.0,0.0
open_vocab_bridge_v2_ycb_clutter_heldout,oracle,oracle_target,1800,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
