scene_id,detector,target_source,episodes,success_rate,success_ci_low,success_ci_high,no_detection_rate,wrong_detection_rate,depth_failure_rate,median_target_error_l2,mean_bbox_iou
48,first_gt_box,box_center_depth,11215,0.4644672313865359,0.4586714222024076,0.47,0.0,0.5329469460543914,0.0017833259028087,0.0867650868422431,0.2645226877110506
48,first_gt_box,crop_median_depth,11215,0.4139099420419082,0.4079335711101203,0.4199732501114578,0.0,0.548372715113687,0.0,0.0909183822669547,0.2645226877110506
48,first_gt_box,crop_trimmed_median_depth,11215,0.4090057958091841,0.4024944271065537,0.4149799375835933,0.0,0.5515827017387428,0.0,0.0913779244124429,0.2645226877110506
48,grounding_dino,box_center_depth,33645,0.4072224699063754,0.4037442413434388,0.4108195868628325,0.0,0.4030316540347748,0.1671868033883192,0.0819084757703037,0.3942887522545757
48,grounding_dino,crop_median_depth,33645,0.4257393371972061,0.4220827760439887,0.4296633972358448,0.0,0.492257393371972,2.972209838014564e-05,0.0942043263011454,0.3942887522545757
48,grounding_dino,crop_trimmed_median_depth,33645,0.4258582255907267,0.4224097191261703,0.4293074751077426,0.0,0.4948729380294249,2.972209838014564e-05,0.0937346320416014,0.3942887522545757
48,oracle_2d_box,box_center_depth,11215,0.7895675434685688,0.7826125724476147,0.7960789121711992,0.0,0.0,0.1960766830138207,0.031430684356207,1.0
48,oracle_2d_box,crop_median_depth,11215,0.8541239411502453,0.8484150691038788,0.8603655818100757,0.0,0.0,0.0,0.0457180995792099,1.0
48,oracle_2d_box,crop_trimmed_median_depth,11215,0.858582255907267,0.8524253232278197,0.864293357111012,0.0,0.0,0.0,0.0453663564727759,1.0
48,oracle_mask,mask_median_depth,11215,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
49,first_gt_box,box_center_depth,9604,0.3924406497292794,0.3865056226572261,0.3983756768013328,0.0,0.545085381091212,0.0,0.1035859545035709,0.3269702604858343
49,first_gt_box,crop_median_depth,9604,0.3269471053727613,0.3202806122448979,0.3343398583923365,0.0,0.5670553935860059,0.0,0.1340788528275688,0.3269702604858343
49,first_gt_box,crop_trimmed_median_depth,9604,0.3365264473136193,0.3299666805497709,0.3433985839233652,0.0,0.5658059142024157,0.0,0.1336904986784382,0.3269702604858343
49,grounding_dino,box_center_depth,28812,0.3659586283492989,0.3621043315285298,0.3698485006247397,0.0002429543245869,0.3486741635429682,0.2605164514785506,0.0820374160926295,0.4276247101859846
49,grounding_dino,crop_median_depth,28812,0.4125017353880327,0.4087524295432458,0.4165287033180619,0.0002429543245869,0.5224559211439678,0.0,0.13396635296345,0.4276247101859846
49,grounding_dino,crop_trimmed_median_depth,28812,0.4137859225322782,0.4098986533388866,0.417812022768291,0.0002429543245869,0.5212758572816882,0.0,0.1341561957003422,0.4276247101859846
49,oracle_2d_box,box_center_depth,9604,0.6494169096209913,0.6423339233652645,0.6567081424406497,0.0,0.0,0.2813411078717201,0.037374649991531,1.0
49,oracle_2d_box,crop_median_depth,9604,0.8112244897959183,0.8049744897959183,0.8184089962515618,0.0,0.0,0.0,0.0451854155530587,1.0
49,oracle_2d_box,crop_trimmed_median_depth,9604,0.8157017909204498,0.8090326947105373,0.8225739275301958,0.0,0.0,0.0,0.0449669324371281,1.0
49,oracle_mask,mask_median_depth,9604,0.9989587671803416,0.9983314244064974,0.9994793835901707,0.0,0.0,0.0010412328196584,0.0,1.0
50,first_gt_box,box_center_depth,9580,0.1997912317327766,0.1965527139874739,0.2033402922755741,0.0,0.7392484342379958,0.0156576200417536,0.1496144805535064,0.2308163305836555
50,first_gt_box,crop_median_depth,9580,0.2152400835073069,0.2088726513569937,0.2219206680584551,0.0,0.6934237995824635,0.0,0.1454084013170218,0.2308163305836555
50,first_gt_box,crop_trimmed_median_depth,9580,0.210125260960334,0.2036508350730689,0.2164953027139875,0.0,0.6953027139874739,0.0,0.1457896573606951,0.2308163305836555
50,grounding_dino,box_center_depth,28740,0.6130132219902574,0.6086273486430063,0.6171894572025052,0.0,0.2967292971468336,0.0284968684759916,0.0567369017099624,0.6475592508055098
50,grounding_dino,crop_median_depth,28740,0.5394224077940153,0.5342371259568545,0.544258872651357,0.0,0.2951287404314544,0.0,0.0710185003707102,0.6475592508055098
50,grounding_dino,crop_trimmed_median_depth,28740,0.5358385525400139,0.5302357341684064,0.5411299582463466,0.0,0.2961029923451635,0.0,0.0708987466414733,0.6475592508055098
50,oracle_2d_box,box_center_depth,9580,0.8670146137787056,0.8609603340292278,0.872964509394572,0.0,0.0,0.0467640918580375,0.0418434400233558,1.0
50,oracle_2d_box,crop_median_depth,9580,0.7660751565762004,0.7575130480167014,0.7740109603340293,0.0,0.0,0.0,0.0442333031541165,1.0
